Campaign	Ad Group	AdGroup Status
NEW_SKU_CAMPAIGN	CT0840GEX2	Active
NEW_SKU_CAMPAIGN	CT0900	Paused
NEW_SKU_CAMPAIGN	CT0900BR	Paused
NEW_SKU_CAMPAIGN	CT1612	Active
NEW_SKU_CAMPAIGN	CT1650	Active
NEW_SKU_CAMPAIGN	CT2120	Paused
NEW_SKU_CAMPAIGN	CT3108	Paused
NEW_SKU_CAMPAIGN	CT3500	Paused
NEW_SKU_CAMPAIGN	CT3500BL	Paused
NEW_SKU_CAMPAIGN	CT3500PK	Paused
NEW_SKU_CAMPAIGN	CT3712	Paused
NEW_SKU_CAMPAIGN	CT4000	Paused
NEW_SKU_CAMPAIGN	CT4000PK	Paused
NEW_SKU_CAMPAIGN	CT4100BK	Paused
NEW_SKU_CAMPAIGN	CT4100WD	Paused
NEW_SKU_CAMPAIGN	CT4300BK	Paused
NEW_SKU_CAMPAIGN	CT5800	Paused
NEW_SKU_CAMPAIGN	CT5800BL	Paused
NEW_SKU_CAMPAIGN	CT6000	Paused
NEW_SKU_CAMPAIGN	CT8005	Paused
NEW_SKU_CAMPAIGN	CT8006	Paused
NEW_SKU_CAMPAIGN	CT8021	Paused
NEW_SKU_CAMPAIGN	CT9600	Active
NEW_SKU_CAMPAIGN	CV0102	Paused
NEW_SKU_CAMPAIGN	cwf001	Paused
NEW_SKU_CAMPAIGN	CWF004	Paused
NEW_SKU_CAMPAIGN	CWF005	Paused
NEW_SKU_CAMPAIGN	CWF007	Paused
NEW_SKU_CAMPAIGN	CYNP1	Paused
NEW_SKU_CAMPAIGN	CYPWCAM313	Paused
NEW_SKU_CAMPAIGN	CYPWCAMN2	Active
NEW_SKU_CAMPAIGN	CYRBTU3	Paused
NEW_SKU_CAMPAIGN	CYRCP5	Paused
NEW_SKU_CAMPAIGN	CYRCP7	Paused
NEW_SKU_CAMPAIGN	CYRHS2	Paused
NEW_SKU_CAMPAIGN	CYRHS3	Paused
NEW_SKU_CAMPAIGN	CYRMIC1	Paused
NEW_SKU_CAMPAIGN	CYRNB3	Paused
NEW_SKU_CAMPAIGN	CYRNB4	Paused
NEW_SKU_CAMPAIGN	CYRNB5	Paused
NEW_SKU_CAMPAIGN	CYRSP21A	Paused
NEW_SKU_CAMPAIGN	CYRWCAM513	Paused
NEW_SKU_CAMPAIGN	CYRWCAM613	Paused
NEW_SKU_CAMPAIGN	CYRWCAM713	Paused
NEW_SKU_CAMPAIGN	CZ0801GE	Paused
NEW_SKU_CAMPAIGN	CZ0805BK	Paused
NEW_SKU_CAMPAIGN	CZ0805LQ	Paused
NEW_SKU_CAMPAIGN	CZ8011	Paused
NEW_SKU_CAMPAIGN	CZ8011FD	Paused
NEW_SKU_CAMPAIGN	CZ8011RD	Paused
NEW_SKU_CAMPAIGN	DA4900	Active
NEW_SKU_CAMPAIGN	DA4900PU	Paused
NEW_SKU_CAMPAIGN	DB0098	Paused
