SKU	QUANTITY TO LIST	DIS PRICE	SHIP PRICE	FREE SHIP SELL PRICE X 0.9	DAYS	LISTING TYPE
TK0111	1	107.95	10.1	107	Days_5	Auction
TN01085BK	1	40.95	9.7	46	Days_5	Auction
TO0250YL	1	55.95	8.95	59	Days_5	Auction
TR1580	1	30.95	8.85	36	Days_5	Auction
TR3005	1	14.95	8.9	22	Days_5	Auction
TR4945	1	78.95	8.95	80	Days_5	Auction
TR4960	1	16.95	8.25	23	Days_5	Auction
TR4964	1	109.95	19.95	117	Days_5	Auction
TR5011	1	26.95	10	34	Days_5	Auction
TR5011BK	1	25.95	8.95	32	Days_5	Auction
TR5056	1	29.95	8.95	36	Days_5	Auction
TR5135SML	1	29.95	8.95	36	Days_5	Auction
TR7542	1	85.95	10.95	88	Days_5	Auction
TT0004BL	1	182.95	28.9	191	Days_5	Auction
TT0250BK	1	55.95	8.95	59	Days_5	Auction
TV0095	1	6.95	8.3	14	Days_5	Auction
TV6798	1	10.95	8.95	18	Days_5	Auction
TX0250BK	1	55.95	9	59	Days_5	Auction
TY1030	1	49.95	14.95	59	Days_5	Auction
TY1052	1	48.95	9.95	54	Days_5	Auction
TY1052DW	1	48.95	9.95	54	Days_5	Auction
TY6898	1	48.95	9.95	54	Days_5	Auction
UR5220	1	24.95	10	32	Days_5	Auction
VB0068YL	1	26.95	9.4	33	Days_5	Auction
VL1200	1	36.95	8.3	41	Days_5	Auction
VS5588	1	29.95	8.95	36	Days_5	Auction
VT5610	1	19.95	8.95	27	Days_5	Auction
VT5687	1	41.95	8.95	46	Days_5	Auction
VT5818	1	64.95	9.98	68	Days_5	Auction
VT5818WD	1	64.95	9.98	68	Days_5	Auction
WA9007PK	1	19.95	8.95	27	Days_5	Auction
WC3200	1	86.95	16.5	94	Days_5	Auction
WC6002	1	20.95	8.95	27	Days_5	Auction
WC6010	1	20.95	9.6	28	Days_5	Auction
WD6394	1	32.95	8.25	38	Days_5	Auction
WD8513BL	1	36.95	8.95	42	Days_5	Auction
WD8542	1	19.95	9.95	27	Days_5	Auction
WD9922	1	20.95	7.2	26	Days_5	Auction
WF1079XH	1	50.95	14.85	60	Days_5	Auction
WH2500DY	1	191.95	29.95	200	Days_5	Auction
WH8000	1	69.95	9.1	72	Days_5	Auction
WH8000SW	1	69.95	9.1	72	Days_5	Auction
WU6069	1	49.95	8.95	54	Days_5	Auction
XC0001	1	38.95	9.95	45	Days_5	Auction
XT5844	1	19.95	8.25	26	Days_5	Auction
XT5844BB	1	19.95	8.95	27	Days_5	Auction
